country,continent,region,year,port,litres,euros
South Africa,Africa,Southern Africa,2007,White,3623,15391
Germany,Europe,Western Europe,2007,White,254794,967099
Andorra,Europe,Southern Europe,2007,White,24373,93834
Angola,Africa,Middle Africa,2007,White,15239,63392
Antigua,North America,Caribbean,2007,White,NA,NA
Netherlands Antilles,North America,Caribbean,2007,White,1535,6603
Argentina,South America,South America,2007,White,932,3395
Aruba,North America,Caribbean,2007,White,14,65
Australia,Oceania,Australia and New Zealand,2007,White,1026,5850
Austria,Europe,Western Europe,2007,White,22457,100894
Azerbaijan,Asia,Western Asia,2007,White,NA,NA
Belgium,Europe,Western Europe,2007,White,2701467,8633385
Bahamas,North America,Caribbean,2007,White,NA,NA
Bahrain,Asia,Western Asia,2007,White,NA,NA
Barbados,North America,Caribbean,2007,White,NA,NA
Belize,North America,Central America,2007,White,NA,NA
Benin,Africa,Western Africa,2007,White,1,0
Bermuda,North America,North America,2007,White,338,1557
Belarus,Europe,Eastern Europe,2007,White,1800,6e3
Bolivia,South America,South America,2007,White,50,240
Brazil,South America,South America,2007,White,35840,152778
Bulgaria,Europe,Eastern Europe,2007,White,356,1680
Bosnia Herzegovina,Europe,Southern Europe,2007,White,727,3288
Cape Verde,Africa,Western Africa,2007,White,639,2965
Cameroon,Africa,Middle Africa,2007,White,180,965
Cambodia,Asia,South-Eastern Asia,2007,White,NA,NA
Canada,North America,Northern America,2007,White,160617,847691
Qatar,Asia,Western Asia,2007,White,NA,NA
Cayman,North America,Caribbean,2007,White,NA,NA
Kazakhstan,Asia,Central Asia,2007,White,90,587
Chile,South America,South America,2007,White,45,221
China,Asia,EasternAsia,2007,White,1358,6458
Cyprus,Europe,Western Asia,2007,White,99,526
Colombia,South America,South America,2007,White,NA,NA
Congo,Africa,Middle Africa,2007,White,90,465
South Korea,Asia,Eastern Asia,2007,White,NA,NA
Cote d'Ivoire,Africa,Western Africa,2007,White,NA,NA
Costa Rica,North America,Central America,2007,White,59,230
Croatia,Europe,Southern Europe,2007,White,1620,9081
Cuba,North America,Caribbean,2007,White,NA,NA
Denmark,Europe,Northern Europe,2007,White,267178,919808
United Arab Emirates,Asia,Western Asia,2007,White,344,1610
Ecuador,South America,South America,2007,White,NA,NA
Slovakia,Europe,Eastern Europe,2007,White,270,1260
Slovenia,Europe,Southern Europe,2007,White,NA,NA
Spain,Europe,Southern Europe,2007,White,155939,727200
Estonia,Europe,Northern Europe,2007,White,1201,4884
USA,North America,Northern America,2007,White,85554,378897
Fiji,Oceania,Melanesia,2007,White,NA,NA
Philippines,Asia,South-Eastern Asia,2007,White,23,83
Finland,Europe,Northern Europe,2007,White,7185,34105
France,Europe,Western Europe,2007,White,3167432,10436987
Ghana,Africa,Western Africa,2007,White,NA,NA
Gibraltar,Europe,Southern Europe,2007,White,153,985
Greece,Europe,Southern Europe,2007,White,3223,14387
Greenland,North America,Northern America,2007,White,NA,NA
Guadeloupe,North America,Caribbean,2007,White,171,1246
Guatemala,North America,Central America,2007,White,225,869
Equatorial Guinea,Africa,Middle Africa,2007,White,NA,NA
Haiti,North America,Caribbean,2007,White,NA,NA
Netherlands,Europe,Western Europe,2007,White,1609462,4864429
Honduras,North America,Central America,2007,White,NA,NA
