country,continent,region,litres.x,year17,litres.y,year08
Airport Shops Portugal,Europe,Southern Europe,NA,NA,540,2004
Algeria,Africa,Northern Africa,1800,9280,NA,NA
All countries,World,World,75076508,377733498,88299464,373522188
Andorra,Europe,Southern Europe,48620,229576,132552,508562
Angola,Africa,Middle Africa,15872,128894,133766,791795
Antigua,North America,Caribbean,NA,NA,1085,6010
Argentina,South America,South America,2616,25266,3902,28765
Armenia,Asia,Western Asia,540,3166,NA,NA
Aruba,North America,Caribbean,27,177,428,2408
Australia,Oceania,Australia and New Zealand,59519,596440,29961,307938
Austria,Europe,Western Europe,169600,1175396,148562,827693
Azerbaijan,Asia,Western Asia,477,3893,NA,NA
Bahamas,North America,Caribbean,NA,NA,2889,15011
Bahrain,Asia,Western Asia,531,4485,180,622
Barbados,North America,Caribbean,NA,NA,1193,7926
Belarus,Europe,Eastern Europe,20862,117285,2562,10680
Belgium,Europe,Western Europe,7126026,28624952,10936639,40095726
Benin,Africa,Western Africa,NA,NA,5,90
Bermuda,North America,Caribbean,6753,64902,11594,101098
Bolivia,South America,South America,248,2028,2372,14687
Bosnia Herzegovina,Europe,Southern Europe,1248,6435,1703,8199
Brazil,South America,South America,620477,2831531,1046071,4407580
Bulgaria,Europe,Eastern Europe,4748,37270,2138,13851
Cambodia,Asia,South-Eastern Asia,NA,NA,531,4882
Canada,North America,Northern America,1284171,12225121,1845313,15034074
Cape Verde,Africa,Western Africa,2180,11756,5940,37960
Cayman Islands,North America,Caribbean,1633,19197,4374,24403
Chile,South America,South America,4758,36369,2565,20926
China,Asia,Eastern Asia,205719,1409325,19222,152832
Colombia,South America,South America,3433,25863,1305,6240
Congo,Africa,Middle Africa,594,3163,864,4453
Costa Rica,North America,Central America,6032,45214,4757,21531
Cote d'Ivoire,Africa,Western Africa,27558,118253,7358,28995
Croatia,Europe,Southern Europe,2043,21214,5166,21516
Cuba,North America,Caribbean,NA,NA,968,8880
Curacao,North America,Caribbean,7541,42355,NA,NA
Cyprus,Asia,Western Asia,6525,37232,3378,20991
Czech Republic,Europe,Eastern Europe,274548,1313082,318569,1588644
Denmark,Europe,Northern Europe,1556687,13428571,1105382,6010951
Dominican Republic,North America,Caribbean,8196,50750,7619,39961
East Timor,Asia,South-Eastern Asia,1890,12774,1440,10732
Ecuador,South America,South America,11664,53906,1800,8980
Estonia,Europe,Northern Europe,34663,220464,13181,85029
Fiji,Oceania,Melanesia,153,4326,NA,NA
Finland,Europe,Northern Europe,129693,924565,139321,987581
France,Europe,Western Europe,18948549,70932244,24231632,86472136
Gabon,Africa,Middle Africa,36,864,NA,NA
Germany,Europe,Western Europe,3017011,12703100,4301147,16453309
Ghana,Africa,Western Africa,NA,NA,450,2730
Gibraltar,Europe,Southern Europe,4104,27026,5264,30731
Greece,Europe,Southern Europe,26460,173121,74098,493082
Guadeloupe,North America,Caribbean,579,9046,516,6914
Guam,Oceania,Micronesia,432,2102,NA,NA
Guatemala,North America,Central America,4293,20505,401,1736
Guinea Bissau,Africa,Western Africa,162,775,153,784
Haiti,North America,Caribbean,216,1242,900,6485
Hong Kong,Asia,Eastern Asia,47011,643412,50377,462620
Hungary,Europe,Eastern Europe,6526,50515,26622,135517
Iceland,Europe,Northern Europe,29766,229602,15363,113328
India,Asia,Southern Asia,1615,10478,432,1968
Indonesia,Asia,South-Eastern Asia,5724,44157,1305,14708
Ireland,Europe,Northern Europe,209681,1437729,324785,2245504
Israel,Asia,Western Asia,19162,138675,5909,33629
Italy,Europe,Southern Europe,486865,2534924,689707,3278541
Japan,Asia,eastern asia,135270,851220,236163,1663833
Jordan,Asia,Western Asia,95,1690,NA,NA
Kazakhstan,Asia,Central Asia,2304,10429,2480,29390
Kenya,Africa,Eastern Africa,3461,33865,225,2539
Laos,Asia,South-Eastern Asia,90,450,90,494
Latvia,Europe,Northern Europe,47861,286182,50036,264296
Lebanon,Asia,Western Asia,1688,9254,941,16119
Liechtenstein,Europe,Western Europe,2039,21192,381,6492
Lithuania,Europe,Northern Europe,51048,252175,16056,67602
Luxembourg,Europe,Western Europe,204171,1098198,187755,958412
Macao,Asia,eastern asia,18703,249940,24309,203071
Malaysia,Asia,South-Eastern Asia,8493,70609,5531,53436
Maldives Islands,Asia,Southern Asia,1004,5576,NA,NA
Malta,Europe,Southern Europe,16481,120692,17783,111212
Mauritius Islands,Africa,Eastern Africa,234,2315,518,4473
Mexico,North America,Central America,115419,791685,145259,731005
Morocco,Africa,Northern Africa,5373,23075,11007,47410
Mozambique,Africa,Eastern Africa,16215,85572,7482,44171
Namibia,Africa,Southern Africa,893,12974,242,720
Nepal,Asia,Southern Asia,3563,25233,NA,NA
Netherlands,Europe,Western Europe,10716523,42118311,13590627,48049647
Netherlands Antilles,North America,Caribbean,NA,NA,12947,67623
New Caledonia,Oceania,Melanesia,NA,NA,9,40
New Zealand,Oceania,Australia and New Zealand,84085,760459,63610,432764
Nigeria,Africa,Northern Europe,2293,16650,NA,NA
Norway,Europe,Northern Europe,156512,1328368,136173,1042842
Panama,North America,Central America,2426,21173,20540,74155
Paraguay,South America,South America,44229,245745,23340,111508
Peru,South America,South America,1674,35829,3834,17787
Philippines,Asia,South-Eastern Asia,3069,16693,2615,23364
Poland,Europe,Eastern Europe,619421,2227178,245528,935698
